"spo","pval","gene","funct","NCBI","padj"
"SPO0757",1.5674,"paaG","phenylacetic acid degradation protein PaaG","SPO_RS03820",1
"SPO0758",2,"SPO0758","beta-ketoadipyl CoA thiolase","SPO_RS03825",1
"SPO0759",0.6564,"SPO0759","hypothetical protein","",1
"SPO0760",0.6124,"SPO0760","4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein","SPO_RS03835",1
"SPO0761",0.9184,"SPO0761","cyclase family protein","SPO_RS03840",1
"SPO0762",1.115,"SPO0762","transcriptional regulator, GntR family","SPO_RS03845",1
"SPO0763",0.7448,"SPO0763","glutamine amidotransferase, class I","SPO_RS03850",1
"SPO0764",0.4126,"SPO0764","cytochrome P450 family protein","SPO_RS03855",1
"SPO0765",0.659,"SPO0765","glutamine synthetase family protein","SPO_RS03860",1
"SPO0766",0.3668,"SPO0766","iron-sulfur cluster-binding protein","SPO_RS03865",1
"SPO0767",0.516,"SPO0767","methyltransferase, FkbM family","SPO_RS03870",1
"SPO0768",0.802,"SPO0768","transcriptional regulator, IclR family","SPO_RS03875",1
"SPO0769",1.009,"SPO0769","hypothetical protein","SPO_RS03880",1
"SPO0770",0.4922,"SPO0770","hypothetical protein","SPO_RS03885",1
"SPO0771",0.9548,"SPO0771","membrane protein","SPO_RS03890",1
"SPO0772",1.014,"SPO0772","enoyl-CoA hydratase/isomerase/3-hydroxyacyl-CoA dehydrogenase","SPO_RS03895",1
"SPO0773",0.9948,"SPO0773","acetyl-CoA acyltransferase/thiolase family protein","SPO_RS03900",1
"SPO0774",0.7368,"SPO0774","acyl-CoA dehydrogenase family protein","SPO_RS03905",1
"SPO0775",1.0486,"SPO0775","acyl-CoA dehydrogenase family protein","SPO_RS03910",1
"SPO0776",0.7532,"SPO0776","putative protein TIGR00369","SPO_RS03915",1
"SPO0777",0.3092,"SPO0777","enoyl-CoA hydratase/isomerase family protein","SPO_RS03920",1
"SPO0778",0.3472,"SPO0778","long-chain-fatty-acid--CoA ligase, putative","SPO_RS03925",1
"SPO0779",0,"rpe","ribulose-phosphate 3-epimerase","SPO_RS03930",0
"SPO0780",0.1446,"phnC","phosphonate ABC transporter, ATP-binding protein","SPO_RS03935",0.858837837837838
"SPO0781",NA,"phnD","phosphonate ABC transporter, periplasmic phosphonate-binding protein","SPO_RS03940",NA
"SPO0782",0.7402,"phnE-1","phosphonate ABC transporter, permease protein","SPO_RS03945",1
"SPO0783",0.0586,"phnE-2","phosphonate ABC transporter, permease protein","SPO_RS03950",0.542674185463659
"SPO0784",0.2998,"SPO0784","chloramphenicol acetyltransferase, putative","SPO_RS03955",1
"SPO0785",0.538,"SPO0785","2-dehydro-3-deoxygalactonokinase, putative","SPO_RS03960",1
"SPO0786",0.3088,"SPO0786","thioesterase family protein","SPO_RS03965",1
"SPO0787",0.7574,"gph-1","phosphoglycolate phosphatase","SPO_RS03970",1
"SPO0788",0.9204,"SPO0788","metallo-beta-lactamase family protein","SPO_RS03980",1
"SPO0789",1.0004,"SPO0789","hypothetical protein","SPO_RS22400",1
"SPO0790",0.3448,"SPO0790","hypothetical protein","SPO_RS03985",1
"SPO0791",0.0292,"SPO0791","M23/M37 peptidase/aminotransferase, class III","SPO_RS03990",0.333809659090909
"SPO0792",0.9986,"SPO0792","6-phosphogluconate dehydrogenase domain protein","SPO_RS03995",1
"SPO0793",0.7724,"cueR","Cu(I)-responsive transcriptional regulator","SPO_RS04000",1
"SPO0794",0.5844,"SPO0794","copper-translocating P-type ATPase","SPO_RS04005",1
"SPO0795",0.5888,"SPO0795","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS04010",1
"SPO0796",0.203,"SPO0796","hypothetical protein","SPO_RS04015",0.999252299605782
"SPO0797",0.67,"SPO0797","bile acid transporter family protein","SPO_RS04020",1
"SPO0798",0.7356,"SPO0798","monooxygenase domain protein","SPO_RS04025",1
"SPO0799",0.43,"SPO0799","transcriptional regulator, TetR family","SPO_RS04030",1
"SPO0800",0.2006,"SPO0800","choline sulfatase","SPO_RS04035",0.999252299605782
"SPO0801",0,"fadD","4-coumarate:CoA ligase","SPO_RS04040",0
"SPO0802",NA,"rpsA","ribosomal protein S1","SPO_RS04045",NA
"SPO0803",0.5652,"SPO0803","NUDIX domain protein","SPO_RS04050",1
"SPO0806",2,"trpF","N-(5'phosphoribosyl)anthranilate isomerase","SPO_RS04065",1
"SPO0807",0.3452,"SPO0807","hypothetical protein","",1
"SPO0808",0.4268,"trpB","tryptophan synthase, beta subunit","SPO_RS04075",1
"SPO0809",0.986,"SPO0809","hypothetical protein","SPO_RS04080",1
"SPO0810",0.9832,"SPO0810","6-aminohexanoate-dimer hydrolase, putative","SPO_RS04085",1
"SPO0811",0.7368,"pth","peptidyl-tRNA hydrolase","SPO_RS04090",1
"SPO0812",2,"rplY","ribosomal protein L25","SPO_RS04095",1
"SPO0813",0.488,"SPO0813","L-lactate dehydrogenase, putative","SPO_RS04100",1
"SPO0814",0.836,"SPO0814","MaoC domain protein","SPO_RS04105",1
"SPO0816",0.6038,"SPO0816","hypothetical protein","SPO_RS04115",1
"SPO0817",0.3494,"ychF","GTP-binding protein YchF","SPO_RS04120",1
"SPO0818",0.3802,"SPO0818","MAPEG family protein","SPO_RS04125",1
"SPO0819",0.5068,"SPO0819","amidohydrolase domain protein","SPO_RS04130",1
"SPO0820",1.0136,"SPO0820","CAIB/BAIF family protein","SPO_RS04135",1
"SPO0821",0.9908,"SPO0821","transcriptional regulator, MarR family","SPO_RS04140",1
"SPO0822",0.662,"SPO0822","branched-chain amino acid ABC transporter, ATP-binding protein","SPO_RS04145",1
"SPO0823",0.7096,"SPO0823","branched-chain amino acid ABC transporter, ATP-binding protein","SPO_RS04150",1
"SPO0824",0.8924,"SPO0824","branched-chain amino acid ABC transporter, permease protein","SPO_RS04155",1
"SPO0825",0.6174,"SPO0825","branched-chain amino acid ABC transporter, periplasmic substrate-binding protein","SPO_RS04160",1
"SPO0826",0.6556,"SPO0826","hypothetical protein","SPO_RS04165",1
"SPO0827",1.0242,"SPO0827","hypothetical protein","SPO_RS04170",1
"SPO0828",0.3314,"SPO0828","hypothetical protein","SPO_RS04175",1
"SPO0829",0.5004,"SPO0829","hypothetical protein","SPO_RS04180",1
"SPO0830",0.6182,"SPO0830","xanthine dehydrogenase family protein, small/large subunits","SPO_RS04185",1
"SPO0831",0.5442,"SPO0831","xanthine dehydrogenase family protein, medium subunit","SPO_RS04190",1
"SPO0832",0.5434,"SPO0832","transcriptional regulator, LysR family","SPO_RS04195",1
"SPO0833",0.0276,"SPO0833","formate dehydrogenase, beta subunit","SPO_RS04200",0.333809659090909
"SPO0834",0.7062,"SPO0834","formate dehydrogenase, alpha subunit","SPO_RS04205",1
"SPO0835",0.9822,"SPO0835","cyclase, putative","SPO_RS04210",1
"SPO0836",0.1176,"SPO0836","hypothetical protein","SPO_RS04215",0.819115887850467
"SPO0837",0.2558,"SPO0837","hypothetical protein","SPO_RS04220",1
"SPO0839",0.9938,"SPO0839","exopolysaccharide biosynthesis domain protein","SPO_RS04230",1
"SPO0840",0.9966,"SPO0840","chain length determinant protein, putative","SPO_RS04235",1
"SPO0841",0.5874,"SPO0841","associated gene for polyketide biosynthesis","SPO_RS04240",1
"SPO0842",0.7736,"SPO0842","associated gene for polyketide biosynthesis","SPO_RS04245",1
"SPO0844",0.6354,"SPO0844","hypothetical protein","SPO_RS04255",1
"SPO0845",0.1294,"SPO0845","hypothetical protein","SPO_RS04260",0.858837837837838
"SPO0847",0.7604,"SPO0847","polyketide synthase core protein; non-ribosomal protein-like T1PKS","SPO_RS04270",1
"SPO0848",0.054,"SPO0848","glycosyl transferase, group 2 family protein","SPO_RS04275",0.53208
"SPO0849",0.9804,"SPO0849","polyketide synthase core protein; non-ribosomal protein-like T1PKS","SPO_RS04280",1
"SPO0850",0.3112,"SPO0850","hypothetical protein","SPO_RS04285",1
"SPO0851",0.405,"SPO0851","glycosyl transferase, WecB/TagA/CpsF family","SPO_RS04290",1
"SPO0852",0.716,"SPO0852","associated gene for polyketide biosynthesis","SPO_RS04295",1
"SPO0853",0.33,"SPO0853","associated gene for polyketide biosynthesis","SPO_RS04300",1
"SPO0854",0.36,"SPO0854","associated gene for polyketide biosynthesis","SPO_RS04305",1
"SPO0855",0.7696,"xylB","xylulose kinase","SPO_RS04310",1
"SPO0856",1.1644,"xylA","xylose isomerase","SPO_RS04315",1
"SPO0857",0.774,"galM","aldose 1-epimerase","SPO_RS04320",1
"SPO0858",0.0854,"SPO0858","methylamine utilization protein MauG, putative","SPO_RS04325",0.707146551724138
"SPO0859",1.175,"SPO0859","FG-GAP repeat domain protein","SPO_RS04330",1
"SPO0860",0.149,"SPO0860","xylose repressor, putative","SPO_RS04335",0.861588419405321
"SPO0861",1.0508,"xylF","xylose ABC transporter, periplasmic xylose-binding protein","SPO_RS04340",1
"SPO0862",0.132,"xylH","xylose ABC transporter, permease protein","SPO_RS04345",0.858837837837838
"SPO0863",0.9722,"xylG","xylose ABC transporter, ATP-binding protein","SPO_RS04350",1
"SPO0864",0.0902,"SPO0864","glucokinase, putative","SPO_RS04355",0.712155982905983
"SPO0865",0.031,"SPO0865","oxidoreductase, Gfo/Idh/MocA family","SPO_RS04360",0.333809659090909
"SPO0866",0.7456,"SPO0866","gamma-glutamyltranspeptidase, putative","SPO_RS04365",1
"SPO0867",1.0012,"SPO0867","hypothetical protein","SPO_RS04370",1
"SPO0868",0.8242,"SPO0868","outer membrane protein, OMP85 family","SPO_RS04375",1
"SPO0869",0.028,"SPO0869","hypothetical protein","SPO_RS04380",0.333809659090909
"SPO0870",0.6584,"SPO0870","transcriptional regulator, LysR family","SPO_RS04385",1
"SPO0872",0.3952,"SPO0872","uricase","SPO_RS04395",1
"SPO0873",0.1994,"allA","Ureidoglycolate hydrolase","SPO_RS04400",0.999252299605782
"SPO0874",0.5454,"SPO0874","xanthine/uracil permease family protein","SPO_RS04405",1
"SPO0875",0.0848,"gap-2","glyceraldehyde-3-phosphate dehydrogenase, type I","SPO_RS04410",0.707146551724138
"SPO0876a",0.677,"SPO0876a","hypothetical protein","SPO_RS04420",1
"SPO0877",0.7242,"SPO0877","hypothetical protein","SPO_RS22405",1
"SPO0878",0.031,"gcvH-1","glycine cleavage system H protein","SPO_RS04430",0.333809659090909
"SPO0879",0.1428,"SPO0879","acyl-CoA dehydrogenase family protein","SPO_RS04435",0.858837837837838
"SPO0880",1.0188,"SPO0880","hypothetical protein","SPO_RS04440",1
"SPO0881",0.3242,"SPO0881","hypothetical protein","SPO_RS22765",1
"SPO0882",0,"SPO0882","hypothetical protein","",0
"SPO0883",0.4134,"SPO0883","hypothetical protein","SPO_RS04450",1
"SPO0884",0.9974,"SPO0884","hypothetical protein","SPO_RS04455",1
"SPO0885",0.485,"SPO0885","hydrolase, alpha/beta fold family","SPO_RS04460",1
"SPO0887",0.5176,"groEL","chaperonin, 60 kDa","SPO_RS04470",1
"SPO0888",0,"SPO0888","acetyltransferase, GNAT family","",0
"SPO0889",1.0122,"SPO0889","hypothetical protein","SPO_RS04480",1
"SPO0890",0.4118,"SPO0890","lipase, putative","SPO_RS04485",1
"SPO0891",0.1086,"SPO0891","alkylphosphonate utilization protein PhnM, putative","SPO_RS04490",0.819115887850467
"SPO0892",0.3628,"purK","phosphoribosylaminoimidazole carboxylase, ATPase subunit","SPO_RS04495",1
"SPO0893",1.0326,"purE","phosphoribosylaminoimidazole carboxylase, catalytic subunit","SPO_RS04500",1
"SPO0894",0.0292,"SPO0894","hypothetical protein","SPO_RS04505",0.333809659090909
"SPO0895",0.1786,"SPO0895","heat shock protein, Hsp20 family","SPO_RS04510",0.963397080291971
"SPO0897",0.9906,"SPO0897","phenazine biosynthesis protein, PhzF family","SPO_RS04520",1
"SPO0898",0,"SPO0898","hypothetical protein","SPO_RS04525",0
"SPO0899",1.0064,"SPO0899","hypothetical protein","SPO_RS04530",1
"SPO0900",0.0574,"sat","sulfate adenylyltransferase","SPO_RS04535",0.542437340153453
"SPO0901",0.9966,"SPO0901","adenylate/guanylate cyclase","SPO_RS04540",1
"SPO0902",0.4036,"SPO0902","hypothetical protein","",1
"SPO0903",2,"trxB","thioredoxin-disulfide reductase","SPO_RS04550",1
"SPO0904",0.3098,"SPO0904","leucine-responsive regulatory protein, putative","SPO_RS04555",1
"SPO0905",0.2828,"SPO0905","hypothetical protein","SPO_RS04560",1
"SPO0906",0.999,"SPO0906","putative protein TIGR00726","SPO_RS04565",1
"SPO0907",2,"SPO0907","hypothetical protein","SPO_RS04570",1
"SPO0910",0,"SPO0910","hypothetical protein","SPO_RS04585",0
"SPO0911",0.0264,"proC","pyrroline-5-carboxylate reductase","SPO_RS04590",0.333809659090909
"SPO0912",0.6634,"csaA","chaperonin csaA","SPO_RS04595",1
"SPO0913",0,"SPO0913","D-isomer specific 2-hydroxyacid dehydrogenase family protein","SPO_RS04600",0
"SPO0914",0.9928,"tdk","thymidine kinase","SPO_RS04605",1
"SPO0915",0.9996,"SPO0915","hypothetical protein","SPO_RS04610",1
"SPO0916",0.0578,"SPO0916","hypothetical protein","SPO_RS04615",0.542556962025316
"SPO0917",0.819,"SPO0917","glyoxalase family protein","SPO_RS04620",1
"SPO0918",1.0076,"fabH-1","3-oxoacyl-[acyl-carrier-protein] synthase III","SPO_RS04625",1
"SPO0919",0.0572,"SPO0919","transcriptional regulator, MarR family","SPO_RS04630",0.542437340153453
"SPO0920",0.4344,"SPO0920","efflux transporter, RND family, MFP subunit","SPO_RS04635",1
"SPO0921",0.8342,"SPO0921","transporter, AcrB/AcrD/AcrF family","SPO_RS04640",1
"SPO0922",0.9956,"SPO0922","hypothetical protein","SPO_RS04645",1
"SPO0923",0.869,"carB","carbamoyl-phosphate synthase, large subunit","SPO_RS04650",1
"SPO0925",0.6592,"SPO0925","hypothetical protein","SPO_RS04660",1
"SPO0927",0.992,"SPO0927","hypothetical protein","",1
"SPO0928",0.2056,"SPO0928","hypothetical protein","SPO_RS04670",0.999252299605782
"SPO0929",0,"SPO0929","type II DNA modification methyltransferase, putative","SPO_RS04675",0
"SPO0930",0.5574,"SPO0930","hypothetical protein","",1
"SPO0931",0.4448,"SPO0931","response regulator","SPO_RS04680",1
"SPO0932",0.1424,"SPO0932","methylmalonyl-CoA epimerase","SPO_RS04685",0.858837837837838
"SPO0933",0.829,"SPO0933","hypothetical protein","SPO_RS04690",1
"SPO0934",0.2818,"SPO0934","hypothetical protein","SPO_RS04695",1
"SPO0935",0.0278,"SPO0935","nitroreductase family protein","SPO_RS04700",0.333809659090909
"SPO0936",0.5662,"SPO0936","hypothetical protein","SPO_RS22770",1
"SPO0937",0.7464,"SPO0937","hypothetical protein","SPO_RS04705",1
"SPO0939",0.284,"SPO0939","peptidase, M48 family","SPO_RS04715",1
"SPO0940",0.484,"SPO0940","hypothetical protein","SPO_RS04720",1
"SPO0941",0.9264,"SPO0941","hypothetical protein","SPO_RS04725",1
"SPO0942",0,"SPO0942","hypothetical protein","SPO_RS04730",0
"SPO0943",0.202,"SPO0943","hypothetical protein","SPO_RS04735",0.999252299605782
"SPO0944",1.0048,"rimO","Ribosomal protein S12 methylthiotransferase RimO (EC 2.8.4.4)","SPO_RS04740",1
"SPO0945",0,"SPO0945","AsmA family protein","SPO_RS04745",0
"SPO0946",0.3288,"algC","phosphomannomutase/phosphoglucomutase","SPO_RS04750",1
"SPO0948",0.9158,"kpsE","capsular polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family","",1
"SPO0949",0.0544,"kpsT","capsular polysaccharide export ATP-binding protein","SPO_RS04765",0.534595744680851
"SPO0950",0.5376,"SPO0950","uracil-DNA glycosylase, putative","SPO_RS04770",1
"SPO0951",0.3846,"SPO0951","hypothetical protein","SPO_RS04775",1
"SPO0952",0.6212,"SPO0952","hypothetical protein","",1
"SPO0953",1.2402,"SPO0953","hypothetical protein","SPO_RS04785",1
"SPO0954",0.8396,"SPO0954","hypothetical protein","SPO_RS04790",1
"SPO0955",0,"SPO0955","amidohydrolase domain protein","SPO_RS04795",0
"SPO0957",0.1708,"SPO0957","ABC transporter, permease protein","SPO_RS04805",0.946185907046477
"SPO0958",0.8072,"SPO0958","hypothetical protein","SPO_RS04810",1
"SPO0959",0.818,"SPO0959","hypothetical protein","SPO_RS04815",1
"SPO0960",1.125,"SPO0960","transcriptional regulator, MerR family","SPO_RS04820",1
"SPO0961",1.4346,"SPO0961","hypothetical protein","SPO_RS04825",1
"SPO0962",0.7092,"argD","acetylornithine aminotransferase","SPO_RS04830",1
"SPO0964",0.2644,"argC-1","N-acetyl-gamma-glutamyl-phosphate reductase","SPO_RS04840",1
"SPO0965",0.8712,"SPO0965","acetyltransferase, GNAT family","SPO_RS23060",1
"SPO0966",0.452,"panE-1","2-dehydropantoate 2-reductase","SPO_RS04855",1
"SPO0967",0.9966,"SPO0967","phosphate transporter family protein","SPO_RS04860",1
"SPO0968",0.4396,"SPO0968","hydrolase, NUDIX family","SPO_RS04865",1
"SPO0970",0.6712,"apqZ","aquaporin Z","SPO_RS04875",1
"SPO0971",0.8452,"SPO0971","oxidoreductase, GMC family","SPO_RS04880",1
"SPO0972",0.3342,"hrpB","ATP-dependent helicase HrpB","SPO_RS04885",1
"SPO0973",0.2896,"SPO0973","LAO/AO transport system ATPase","SPO_RS04890",1
"SPO0974",0.0888,"rpmB","ribosomal protein L28","SPO_RS04895",0.707146551724138
"SPO0975",1.0048,"SPO0975","hypothetical protein","",1
"SPO0976",0.341,"SPO0976","hypothetical protein","SPO_RS04905",1
"SPO0977",0.9828,"SPO0977","ornithine cyclodeaminase/mu-crystallin family protein","SPO_RS04910",1
"SPO0978",0.99,"SPO0978","CobB","SPO_RS04915",1
"SPO0980",1.2468,"SPO0980","transcriptional regulator, LysR family","SPO_RS04925",1
"SPO0981",0.8718,"SPO0981","histidinol dehydrogenase, putative","SPO_RS04930",1
"SPO0982",1.0132,"SPO0982","hypothetical protein","SPO_RS23065",1
"SPO0983",0.059,"lepA","GTP-binding protein LepA","SPO_RS04950",0.543653366583541
"SPO0984",0.4942,"znuB","zinc ABC transporter, permease protein","SPO_RS04955",1
"SPO0985",0.948,"znuC","zinc ABC transporter, ATP-binding protein","SPO_RS04960",1
"SPO0986",0.998,"zur","zinc uptake regulation protein","SPO_RS04965",1
"SPO0987",0.0822,"znuA","zinc ABC transporter, periplasmic zinc-binding protein","SPO_RS04970",0.707146551724138
"SPO0988",0.8044,"SPO0988","YeeE/YedE family protein","SPO_RS04975",1
"SPO0989",0.9994,"SPO0989","transcriptional regulator SoxR","SPO_RS04980",1
"SPO0990",0.763,"soxS","regulatory protein SoxS","SPO_RS04985",1
"SPO0991",0.479,"soxV","sulfur oxidation V protein","SPO_RS04990",1
"SPO0992",0.9896,"soxW","thioredoxin SoxW","SPO_RS04995",1
"SPO0993",0.8088,"soxX","monoheme cytochrome c SoxX","SPO_RS05000",1
"SPO0994",NA,"soxY","sulfur oxidation Y protein","SPO_RS05005",NA
"SPO0995",0.995,"soxZ","sulfur oxidation Z protein","SPO_RS05010",1
"SPO0996",0.7644,"soxA","diheme cytochrome c SoxA","SPO_RS05015",1
"SPO0997",0.371,"soxB","sulfur oxidation B protein","SPO_RS05020",1
"SPO0998",0.281,"soxC","sulfur oxidation molybdopterin C protein","SPO_RS05025",1
"SPO0999",0.9954,"soxD","diheme cytochrome c SoxD","SPO_RS05030",1
"SPO1000",0.416,"soxE","diheme cytochrome c SoxE","SPO_RS05035",1
"SPO1001",0.1396,"soxF","sulfur oxidation F protein","SPO_RS05040",0.858837837837838
"SPO1002",0.718,"SPO1002","transcriptional regulator, AraC family","SPO_RS05045",1
"SPO1003",0.9922,"clpP","ATP-dependent Clp protease, proteolytic subunit ClpP","SPO_RS05050",1
"SPO1004",0.4256,"clpX","ATP-dependent Clp protease, ATP-binding subunit ClpX","SPO_RS05055",1
"SPO1005",0.3894,"SPO1005","endoribonuclease L-PSP family protein","",1
"SPO1006",0.313,"SPO1006","NADH dehydrogenase subunit, putative","SPO_RS05065",1
"SPO1007",0,"SPO1007","hypothetical protein","SPO_RS05070",0
"SPO1008",1.2616,"SPO1008","hypothetical protein","SPO_RS05075",1
"SPO1009",0.655,"aat","leucyl/phenylalanyl-tRNA--protein transferase","SPO_RS05080",1
"SPO1012",0.294,"SPO1012","transcriptional regulator, LuxR family","SPO_RS05095",1
"SPO1013",0.754,"SPO1013","thiolase family protein","SPO_RS05100",1
"SPO1014",0.2722,"SPO1014","AMP-binding enzyme","SPO_RS05105",1
"SPO1015",0.6608,"SPO1015","3-hydroxybutyrate dehydrogenase, putative","SPO_RS05110",1
"SPO1016",0.3686,"SPO1016","hypothetical protein","SPO_RS05115",1
"SPO1017",0.6534,"SPO1017","lactic acid ABC transporter, ATP-binding protein","SPO_RS05120",1
"SPO1018",0.995,"SPO1018","lactic acid ABC transporter, ATP-binding protein","SPO_RS05125",1
"SPO1019",0.8466,"SPO1019","lactic acid ABC transporter, permease protein","SPO_RS05130",1
"SPO1020",0.617,"SPO1020","lactic acid ABC transporter, permease protein","SPO_RS05135",1
"SPO1021",0.7646,"SPO1021","lactic acid ABC transporter, periplasmic substrate-binding protein","SPO_RS05140",1
"SPO1022",1.0132,"SPO1022","transcriptional regulator, putative","SPO_RS05145",1
"SPO1024",0.3172,"SPO1024","hypothetical protein","SPO_RS05155",1
"SPO1025",0.8716,"SPO1025","sensor histidine kinase","SPO_RS05160",1
"SPO1026",0.0302,"SPO1026","hypothetical protein","SPO_RS05165",0.333809659090909
"SPO1027",0.3,"SPO1027","putative protein TIGR01244","SPO_RS05170",1
"SPO1028",0.2856,"SPO1028","YeeE/YedE family protein","SPO_RS05175",1
"SPO1029",1.0068,"SPO1029","YeeE/YedE family protein","SPO_RS05180",1
"SPO1030",0.1384,"SPO1030","metallo-beta-lactamase family protein","SPO_RS05185",0.858837837837838
"SPO1031",0.9966,"SPO1031","hypothetical protein","",1
"SPO1032",0.9986,"SPO1032","hypothetical protein","SPO_RS05195",1
"SPO1033",0.693,"SPO1033","hypothetical protein","SPO_RS05200",1
"SPO1034",0.9988,"SPO1034","hypothetical protein","SPO_RS05205",1
"SPO1036",0.0274,"SPO1036","site-specific recombinase, phage integrase family","SPO_RS05215",0.333809659090909
"SPO1037",0.2546,"SPO1037","hypothetical protein","SPO_RS05220",1
"SPO1038",0.4376,"SPO1038","hypothetical protein","",1
"SPO1039",1.0046,"SPO1039","hypothetical protein","SPO_RS05235",1
"SPO1040",0.9968,"SPO1040","hypothetical protein","SPO_RS05240",1
"SPO1041",0.8928,"SPO1041","hypothetical protein","SPO_RS05245",1
"SPO1042",0,"SPO1042","hypothetical protein","SPO_RS05250",0
"SPO1043",1.0028,"SPO1043","hypothetical protein","SPO_RS05255",1
"SPO1044",0.4974,"SPO1044","hypothetical protein","",1
"SPO1044a",0.7136,"SPO1044a","hypothetical protein","SPO_RS05270",1
"SPO1045",0.9862,"SPO1045","hypothetical protein","SPO_RS22790",1
"SPO1046",0.1696,"SPO1046","hypothetical protein","SPO_RS22795",0.942363909774436
"SPO1047",0.4292,"SPO1047","RNA-dependent DNA polymerase, putative","SPO_RS22425",1
"SPO1048",0.8886,"SPO1048","hypothetical protein","SPO_RS05275",1
"SPO1049",NA,"SPO1049","DNA methylase, C-5 cytosine-specific family","SPO_RS22430",NA
"SPO1050",1.0914,"SPO1050","site-specific recombinase, phage integrase family","SPO_RS05300",1
"SPO1051",0.8252,"SPO1051","hypothetical protein","SPO_RS05320",1
"SPO1052",0.9172,"SPO1052","hypothetical protein","SPO_RS05330",1
"SPO1053",0.9828,"SPO1053","hypothetical protein","SPO_RS05345",1
"SPO1054",0.2314,"SPO1054","hypothetical protein","SPO_RS05350",1
"SPO1055",0.0854,"SPO1055","hypothetical protein","SPO_RS05355",0.707146551724138
"SPO1056",0.9944,"SPO1056","hypothetical protein","SPO_RS05360",1
"SPO1057",0.6288,"SPO1057","transcriptional regulator, AraC family","SPO_RS05365",1
"SPO1058",0.9884,"SPO1058","acyltransferase, HtrB family","SPO_RS05370",1
"SPO1059",0.4814,"SPO1059","serine/threonine protein kinase","SPO_RS22140",1
"SPO1060",0.2542,"SPO1060","hypothetical protein","SPO_RS05380",1
"SPO1061",0.3928,"SPO1061","LysM domain protein","SPO_RS05385",1
"SPO1062",0.7644,"SPO1062","LysM domain protein","SPO_RS05390",1
"SPO1063",0.0272,"SPO1063","hypothetical protein","SPO_RS05395",0.333809659090909
"SPO1064",0.1962,"SPO1064","serine/threonine protein phosphatase, putative","SPO_RS05400",0.999252299605782
"SPO1065",0.1444,"SPO1065","hypothetical protein","SPO_RS05405",0.858837837837838
"SPO1066",0.054,"SPO1066","hypothetical protein","SPO_RS05410",0.53208
"SPO1067",0.7764,"SPO1067","hypothetical protein","SPO_RS05415",1
"SPO1068",0.6254,"SPO1068","hypothetical protein","SPO_RS05420",1
"SPO1069",0.9532,"SPO1069","hypothetical protein","SPO_RS05425",1
"SPO1070",0.121,"SPO1070","hypothetical protein","SPO_RS05430",0.819326086956522
"SPO1071",1.0046,"SPO1071","glutamine amidotransferase, class-I","SPO_RS05435",1
"SPO1072",1.0034,"SPO1072","putative protein TIGR01033","SPO_RS05440",1
"SPO1073",0.4884,"SPO1073","bordetella uptake gene family protein","SPO_RS05445",1
"SPO1074",0.0788,"SPO1074","hypothetical protein","SPO_RS05450",0.699918269230769
"SPO1075",0.8488,"SPO1075","hypothetical protein","SPO_RS05455",1
"SPO1076",0.9544,"SPO1076","trkA-C domain protein","SPO_RS05460",1
"SPO1077",0.1132,"SPO1077","nitroreductase family protein","SPO_RS05465",0.819115887850467
"SPO1078",0.3494,"SPO1078","transcriptional regulator, LysR family","SPO_RS05470",1
"SPO1079",0.515,"SPO1079","L-lysine exporter, putative","SPO_RS05475",1
"SPO1080",1.079,"SPO1080","hypothetical protein","SPO_RS05480",1
"SPO1081",0.3386,"SPO1081","hypothetical protein","",1
"SPO1082",0.5076,"betI","HTH-type transcriptional regulator BetI","SPO_RS05490",1
"SPO1083",0.9978,"betC","choline sulfatase","SPO_RS05495",1
"SPO1084",0.8998,"SPO1084","hypothetical protein","SPO_RS05500",1
"SPO1085",0.3802,"SPO1085","hypothetical protein","SPO_RS05505",1
"SPO1086",0.6694,"SPO1086","transcriptional regulator, TetR family","SPO_RS05510",1
"SPO1087",0.4642,"betT","choline transporter","SPO_RS05515",1
"SPO1088",0.7576,"betA","choline dehydrogenase","SPO_RS05520",1
"SPO1089",0.282,"SPO1089","hypothetical protein","SPO_RS05525",1
"SPO1090",0.638,"SPO1090","DNA-binding protein, putative","SPO_RS05530",1
"SPO1091",0.3202,"SPO1091","YCII-related domain protein","SPO_RS05535",1
"SPO1092",1.014,"SPO1092","transcriptional regulator, LysR family","SPO_RS05540",1
"SPO1093",0.9972,"SPO1093","drug resistance transporter, Bcr/CflA family","SPO_RS05545",1
"SPO1094",1.0068,"pccB","propionyl-CoA carboxylase, beta subunit","SPO_RS05550",1
"SPO1094a",0,"SPO1094a","hypothetical protein","SPO_RS05555",0
"SPO1095",0.3658,"SPO1095","hypothetical protein","SPO_RS22440",1
"SPO1097",0.2512,"SPO1097","hypothetical protein","SPO_RS05570",1
"SPO1098",0.2042,"SPO1098","hypothetical protein","SPO_RS05575",0.999252299605782
"SPO1101",0.136,"pccA","propionyl-CoA carboxylase, alpha subunit","SPO_RS05585",0.858837837837838
"SPO1102",0.5668,"SPO1102","lipoprotein, putative","SPO_RS05590",1
"SPO1103",0.9552,"SPO1103","hypothetical protein","",1
"SPO1104",0.1418,"SPO1104","hypothetical protein","SPO_RS05600",0.858837837837838
"SPO1106",0.1372,"SPO1106","hypothetical protein","SPO_RS05610",0.858837837837838
