spo,gene,funct,NCBI
SPO1208,SPO1208,voltage-gated chloride channel family protein,SPO_RS06130
SPO1209,SPO1209,MlrC domain protein,SPO_RS06135
SPO1210,SPO1210,"oligopeptide ABC transporter, periplasmic oligopeptide-binding protein",SPO_RS06140
SPO1211,SPO1211,"oligopeptide ABC transporter, permease protein",SPO_RS06145
SPO1212,SPO1212,"oligopeptide ABC transporter, permease protein",SPO_RS06150
SPO1213,SPO1213,"oligopeptide ABC transporter, ATP-binding protein",SPO_RS06155
SPO1214,SPO1214,hippurate hydrolase,SPO_RS06160
SPO1215,SPO1215,"peptidase, M20/M25/M40 family",SPO_RS06165
SPO1216,SPO1216,hypothetical protein,SPO_RS06170
SPO1217,SPO1217,"DNA-binding protein, putative",SPO_RS06175
SPO1218,SPO1218,"site-specific recombinase, phage integrase family",SPO_RS06190
SPO1219,SPO1219,"site-specific recombinase, phage integrase family",SPO_RS06195
SPO1220,SPO1220,hypothetical protein,SPO_RS06200
SPO1221,SPO1221,hypothetical protein,SPO_RS22805
SPO1222,SPO1222,"site-specific recombinase, resolvase family",SPO_RS06210
SPO1223,SPO1223,hypothetical protein,SPO_RS06215
SPO1224,SPO1224,hypothetical protein,SPO_RS06220
SPO1225,SPO1225,hypothetical protein,
SPO1226,SPO1226,"lipoprotein, putative",SPO_RS22815
SPO1226a,SPO1226a,hypothetical protein,SPO_RS22820
SPO1227,SPO1227,hypothetical protein,SPO_RS06235
SPO1228,SPO1228,hypothetical protein,SPO_RS06240
SPO1229,SPO1229,hypothetical protein,SPO_RS06250
SPO1230,SPO1230,hypothetical protein,SPO_RS22145
SPO1231,SPO1231,hypothetical protein,SPO_RS06260
SPO1232,SPO1232,"DNA-binding protein, H-NS family",SPO_RS06265
SPO1233,SPO1233,hypothetical protein,SPO_RS06270
SPO1234,SPO1234,hypothetical protein,SPO_RS06275
SPO1235,SPO1235,hypothetical protein,SPO_RS06285
SPO1236,SPO1236,hypothetical protein,SPO_RS06290
SPO1237,SPO1237,hypothetical protein,SPO_RS06295
SPO1239,pcm-1,protein-L-isoaspartate O-methyltransferase,SPO_RS06310
SPO1240,SPO1240,"type I secretion outer membrane protein, TolC family",SPO_RS06315
SPO1241,SPO1241,hypothetical protein,SPO_RS06320
SPO1242,cobQ,cobyric acid synthase CobQ,SPO_RS06325
SPO1243,SPO1243,hypothetical protein,
SPO1244,efp,translation elongation factor P,SPO_RS06335
SPO1245,SPO1245,"ABC transporter, permease protein",SPO_RS06340
SPO1246,SPO1246,aminomethyl transferase family protein,SPO_RS06345
SPO1247,SPO1247,"glycosyl transferase, group 2 family protein",SPO_RS06350
SPO1249,SPO1249,"paraquat-inducible protein, putative",SPO_RS06365
SPO1250,SPO1250,"lipoprotein, putative",SPO_RS06370
SPO1251,SPO1251,hypothetical protein,SPO_RS06375
SPO1252,SPO1252,hypothetical protein,
SPO1252a,SPO1252a,Transcriptional regulator,SPO_RS22455
SPO1253,parE,"DNA topoisomerase IV, B subunit",SPO_RS06385
SPO1254,SPO1254,hypothetical protein,SPO_RS06390
SPO1255,SPO1255,alkylhydroperoxidase AhpD family core domain protein,SPO_RS06395
SPO1256,ppk2,polyphosphate kinase 2,SPO_RS06400
SPO1257,SPO1257,glutathione S-transferase family protein,SPO_RS06405
SPO1258,SPO1258,"hydrolase, alpha/beta fold family",SPO_RS06410
SPO1259,SPO1259,hypothetical protein,SPO_RS06415
SPO1260,SPO1260,MATE efflux family protein,SPO_RS06420
SPO1261,SPO1261,"transcriptional regulator, MarR family",SPO_RS06425
SPO1262,SPO1262,hypothetical protein,SPO_RS06430
SPO1263,SPO1263,hypothetical protein,SPO_RS06435
SPO1264,aspC-2,aspartate aminotransferase,SPO_RS06440
SPO1265,SPO1265,"DNA-binding protein, putative",SPO_RS06445
SPO1266,SPO1266,TPR repeat family protein,SPO_RS06450
SPO1267,SPO1267,"transcriptional regulator, MarR family",SPO_RS06455
SPO1268,SPO1268,"lipoprotein, putative",SPO_RS06460
SPO1269,SPO1269,hypothetical protein,SPO_RS06465
SPO1270,SPO1270,"lactoylglutathione lyase, putative",SPO_RS06470
SPO1271,SPO1271,hypothetical protein,SPO_RS06475
SPO1272,SPO1272,hypothetical protein,SPO_RS06480
SPO1273,thyX,"thymidylate synthase, flavin-dependent",SPO_RS06485
SPO1274,SPO1274,hypothetical protein,
SPO1275,SPO1275,cold shock family protein,SPO_RS06495
SPO1276,SPO1276,ArsC family protein,SPO_RS06500
SPO1277,SPO1277,hypothetical protein,SPO_RS06505
SPO1278,SPO1278,hypothetical protein,SPO_RS06510
SPO1279,SPO1279,hypothetical protein,SPO_RS06515
SPO1280,SPO1280,hypothetical protein,SPO_RS06520
SPO1281,SPO1281,hypothetical protein,SPO_RS06525
SPO1282,thrS,threonyl-tRNA synthetase,SPO_RS06530
SPO1283,SPO1283,hypothetical protein,SPO_RS06535
SPO1284,SPO1284,"transcriptional regulator, ArsR family",SPO_RS06540
SPO1285,SPO1285,hypothetical protein,SPO_RS06545
SPO1286,SPO1286,hypothetical protein,SPO_RS06550
SPO1287,SPO1287,glyoxalase family protein,SPO_RS06555
SPO1288,SPO1288,hypothetical protein,SPO_RS06560
SPO1289,SPO1289,"hydrolase, alpha/beta fold family",SPO_RS06565
SPO1290,SPO1290,hypothetical protein,SPO_RS06570
SPO1291,phaZ,"polyhydroxyalkanoate depolymerase, intracellular",SPO_RS06575
SPO1292,phaC,poly(3-hydroxyalkanoate) polymerase,SPO_RS06580
SPO1293,phaP,"phasin, PhaP",SPO_RS06585
SPO1294,SPO1294,polyhydroxyalkanoate synthesis repressor PhaR,SPO_RS06590
SPO1295,SPO1295,"aminotransferase, DegT/DnrJ/EryC1/StrS family",SPO_RS06595
SPO1298,SPO1298,"oxidoreductase, aldo/keto reductase family protein",SPO_RS06610
SPO1299,SPO1299,"transcriptional regulator, LysR family",SPO_RS22460
SPO1300,SPO1300,glutamine synthetase family protein,SPO_RS06625
SPO1301,SPO1301,"glutamine amidotransferase, class I",SPO_RS06630
SPO1302,SPO1302,glutamine synthetase family protein,SPO_RS06635
SPO1303,SPO1303,"fructosyl-amino acid oxidase, putative",SPO_RS06640
SPO1304,SPO1304,"His/Glu/Gln/Arg/opine family ABC transporter, permease protein",SPO_RS06645
SPO1305,SPO1305,"ABC transporter, permease protein, HisMQ family",SPO_RS06650
SPO1306,SPO1306,"His/Glu/Gln/Arg/opine family ABC transporter, periplasmic His/Glu/Gln/Arg/opine family-binding protein",SPO_RS06655
SPO1307,SPO1307,"His/Glu/Gln/Arg/opine family ABC transporter, ATP-binding protein",SPO_RS06660
SPO1308,SPO1308,hypothetical protein,SPO_RS06665
SPO1309,SPO1309,hypothetical protein,SPO_RS06670
SPO1310,SPO1310,hypothetical protein,SPO_RS06675
SPO1310a,SPO1310a,hypothetical protein,SPO_RS06680
SPO1311,SPO1311,renal dipeptidase family protein,SPO_RS06685
SPO1312,pyrG,CTP synthase,SPO_RS06690
SPO1313,secG,"preprotein translocase, SecG subunit",SPO_RS06695
SPO1314,nthA,nitrile hydratase subunit alpha,SPO_RS06700
SPO1315,nthB,nitrile hydratase beta subunit,SPO_RS06705
SPO1316,SPO1316,hypothetical protein,SPO_RS06710
SPO1317,SPO1317,hypothetical protein,SPO_RS06715
SPO1318,purA,adenylosuccinate synthetase,SPO_RS06720
SPO1319,SPO1319,hypothetical protein,SPO_RS06725
SPO1320,SPO1320,"lipoprotein, putative",SPO_RS06730
SPO1321,SPO1321,thiamine pyrophosphokinase,SPO_RS06735
SPO1322,SPO1322,hypothetical protein,SPO_RS06740
SPO1323,sdaA,L-serine ammonia-lyase,SPO_RS06745
SPO1324,SPO1324,glutathione S-transferase family protein,SPO_RS06750
SPO1325,SPO1325,"lipoprotein, putative",SPO_RS06755
SPO1326,SPO1326,"transcriptional regulator, MarR family",SPO_RS06760
SPO1327,rpiA,ribose 5-phosphate isomerase,SPO_RS06765
SPO1328,gor,glutathione-disulfide reductase,SPO_RS06770
SPO1329,SPO1329,HflK protein,SPO_RS06775
SPO1330,hflC,HflC protein,SPO_RS06780
SPO1331,SPO1331,hypothetical protein,SPO_RS06785
SPO1332,SPO1332,hypothetical protein,SPO_RS06790
SPO1333,SPO1333,"periplasmic serine protease, DO/DeqQ family",SPO_RS06795
SPO1334,SPO1334,hypothetical protein,SPO_RS06800
SPO1335,SPO1335,"transcriptional regulator, Crp/Fnr family",SPO_RS06805
SPO1336,ispZ,intracellular septation protein A,SPO_RS06810
SPO1337,SPO1337,hypothetical protein,SPO_RS06815
SPO1337a,SPO1337a,hypothetical protein,SPO_RS06820
SPO1339,ftsY,signal recognition particle-docking protein FtsY,SPO_RS06825
SPO1340,SPO1340,hypothetical protein,SPO_RS06830
SPO1341,SPO1341,"alkane-1 monooxygenase, putative",SPO_RS06835
SPO1342,SPO1342,hypothetical protein,SPO_RS06840
SPO1343,SPO1343,glutathione S-transferase family protein,SPO_RS06845
SPO1344,xseA,"exodeoxyribonuclease VII, large subunit",SPO_RS06850
SPO1345,purD,phosphoribosylamine--glycine ligase,SPO_RS06855
SPO1346,SPO1346,"transcriptional regulator, LuxR family/sensory box protein",SPO_RS06860
SPO1347,SPO1347,hypothetical protein,SPO_RS06865
SPO1348,SPO1348,iron-sulfur cluster-binding protein,SPO_RS06870
SPO1349,SPO1349,"lipoprotein, putative",SPO_RS06875
SPO1350,SPO1350,hypothetical protein,
SPO1351,metZ,O-succinylhomoserine sulfhydrylase,SPO_RS06880
SPO1352,folE2,GTP cyclohydrolase FolE2 (EC 3.5.4.16),SPO_RS06885
SPO1352a,SPO1352a,hypothetical protein,SPO_RS06890
SPO1353,trkH-1,Trk system potassium uptake protein TrkH,SPO_RS06895
SPO1354,SPO1354,peptidoglycan binding domain protein,SPO_RS06900
SPO1355,glyQ,"glycyl-tRNA synthetase, alpha subunit",SPO_RS06905
SPO1356,SPO1356,"methyltransferase, FkbM family",SPO_RS06910
SPO1356a,SPO1356a,Signal transduction,SPO_RS06915
SPO1357,gltS,sodium/glutamate symporter,SPO_RS06920
SPO1358,glyS,"glycyl-tRNA synthetase, beta subunit",SPO_RS06925
SPO1359,ppdK,"pyruvate, phosphate dikinase",SPO_RS06930
SPO1360,SPO1360,hypothetical protein,SPO_RS06935
SPO1361,SPO1361,multicopper oxidase domain protein,SPO_RS06940
SPO1362,SPO1362,"dihydroneopterin aldolase, putative",SPO_RS06945
SPO1363,folP,dihydropteroate synthase,
SPO1364,glmM,phosphoglucosamine mutase,SPO_RS06955
SPO1364a,SPO1364a,hypothetical protein,SPO_RS06960
SPO1365,SPO1365,hypothetical protein,SPO_RS06965
SPO1366,ilvC,ketol-acid reductoisomerase,SPO_RS06970
SPO1367,SPO1367,"transcriptional regulator, AsnC family",SPO_RS06975
SPO1368,SPO1368,"transcriptional regulator, AsnC family",SPO_RS06980
SPO1369,SPO1369,"transcriptional regulator, GntR family",SPO_RS06985
SPO1370,SPO1370,aminotransferase family protein,SPO_RS06990
SPO1371,SPO1371,"2-octaprenyl-6-methoxyphenol hydroxylase, putative",SPO_RS06995
SPO1372,SPO1372,hypothetical protein,SPO_RS07000
SPO1373,SPO1373,hypothetical protein,SPO_RS07005
SPO1374,SPO1374,pyrimidine 5'-nucleotidase,SPO_RS07010
SPO1375,SPO1375,"transcriptional regulator, GntR family",SPO_RS07015
SPO1376,SPO1376,"glycosyl transferase, group 2 family protein",SPO_RS07020
SPO1377,carA,"carbamoyl-phosphate synthase, small subunit",SPO_RS07025
SPO1378,SPO1378,GatB/YqeY domain protein,SPO_RS07030
SPO1379,SPO1379,"prephenate dehydrogenase, putative",SPO_RS07040
SPO1380,SPO1380,hypothetical protein,SPO_RS07045
SPO1381,SPO1381,hypothetical protein,SPO_RS07050
SPO1382,SPO1382,hypothetical protein,SPO_RS07055
SPO1383,ctaD,"cytochrome c oxidase, aa3-type, subunit I",SPO_RS07060
SPO1384,SPO1384,"transcriptional regulator, MarR family",SPO_RS07065
SPO1385,SPO1385,twin-arginine translocation pathway signal sequence domain protein,SPO_RS07070
SPO1386,SPO1386,HIT family protein,SPO_RS07075
SPO1387,SPO1387,cation efflux system protein,SPO_RS07080
SPO1388,SPO1388,"transcriptional regulator, LuxR family/hydrolase, alpha/beta fold family",SPO_RS07085
SPO1389,lipB,lipoate-protein ligase B,SPO_RS07090
SPO1390,SPO1390,"thioredoxin domain protein, DsbA family",SPO_RS07095
SPO1392,SPO1392,4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein,SPO_RS07105
SPO1393,SPO1393,Rrf2 family protein,SPO_RS07110
SPO1394,SPO1394,"beta-lactamase, putative",SPO_RS22150
SPO1395,SPO1395,"transcriptional regulator, AraC family",SPO_RS07120
SPO1396,SPO1396,"transporter, putative",SPO_RS07125
SPO1397,SPO1397,hydrophobe/amphiphile efflux-1 family protein,SPO_RS07130
SPO1398,SPO1398,"efflux transporter, RND family, MFP subunit",SPO_RS07135
SPO1399,SPO1399,"transcriptional regulator, AraC family",SPO_RS07140
SPO1400,SPO1400,hypothetical protein,SPO_RS07145
SPO1401,SPO1401,"aminotransferase, class III",SPO_RS07150
SPO1402,SPO1402,hypothetical protein,SPO_RS07155
SPO1403,metG,methionyl-tRNA synthetase,SPO_RS07160
SPO1404,SPO1404,hypothetical protein,SPO_RS07165
SPO1405,SPO1405,tyrosinase domain protein,SPO_RS07170
SPO1406,SPO1406,hypothetical protein,SPO_RS22155
SPO1407,SPO1407,hypothetical protein,SPO_RS07180
SPO1408,rluD,ribosomal large subunit pseudouridine synthase D,SPO_RS07185
SPO1409,rpoH-2,RNA polymerase sigma-32 factor,SPO_RS07190
SPO1410,SPO1410,renal dipeptidase family protein,SPO_RS07195
SPO1411,SPO1411,"C4-type zinc finger protein, DksA/TraR family",SPO_RS07200
SPO1412,SPO1412,DNA modification methyltransferase domain protein,SPO_RS07205
SPO1412a,SPO1412a,hypothetical protein,SPO_RS22825
SPO1413,pepF,oligoendopeptidase F,SPO_RS07210
SPO1414,SPO1414,"hydrolase, alpha/beta fold family",SPO_RS07215
SPO1415,SPO1415,sterol carrier family protein,SPO_RS07220
SPO1416,SPO1416,TPR domain protein,SPO_RS07225
SPO1417,SPO1417,"helicase, putative",SPO_RS07230
SPO1418,SPO1418,S4 domain protein,SPO_RS07235
SPO1419,SPO1419,iron-sulfur cluster-binding protein,SPO_RS07240
SPO1420,SPO1420,"transcriptional regulator, CarD family",SPO_RS07245
SPO1421,SPO1421,cation channel family protein,SPO_RS07250
SPO1422,SPO1422,cobalamin 5'-phosphate synthase,SPO_RS07255
SPO1423,cobT,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21),SPO_RS07260
SPO1424,SPO1424,glutathione-regulated potassium-efflux system protein,SPO_RS07265
SPO1425,SPO1425,"transcriptional regulator, AsnC family",SPO_RS07270
SPO1426,hppD,4-hydroxyphenylpyruvate dioxygenase,SPO_RS07275
SPO1427,SPO1427,hypothetical protein,SPO_RS07280
SPO1429,omp28,"outer membrane protein, 28Kda",SPO_RS07285
SPO1430,SPO1430,antibiotic efflux protein,SPO_RS07290
SPO1431,SPO1431,O-acetylhomoserine aminocarboxypropyltransferase,SPO_RS07295
SPO1432,SPO1432,rhodanese domain protein,SPO_RS07300
SPO1433,SPO1433,"oxidoreductase, aldo/keto reductase family",SPO_RS07305
SPO1434,SPO1434,"transcriptional regulator, AraC family",SPO_RS07310
SPO1435,SPO1435,hypothetical protein,SPO_RS07315
SPO1436,lcdH,L-carnitine dehydrogenase (EC 1.1.1.108),SPO_RS07320
SPO1437,linC-1,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase",SPO_RS07325
SPO1438,SPO1438,hypothetical protein,
SPO1439,SPO1439,"DNA binding protein, putative",SPO_RS07335
SPO1440,SPO1440,hypothetical protein,SPO_RS07340
SPO1441,SPO1441,fatty acid desaturase family protein,SPO_RS07345
SPO1442,SPO1442,hypothetical protein,SPO_RS07350
SPO1443,rhlE,ATP-dependent RNA helicase RhlE,SPO_RS07355
SPO1444,SPO1444,hypothetical protein,SPO_RS07360
SPO1445,SPO1445,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS07365
SPO1446,SPO1446,"cyclase, putative",SPO_RS07370
SPO1447,SPO1447,"oxidoreductase, short chain dehydrogenase/reductase family",SPO_RS07375
SPO1448,SPO1448,hypothetical protein,SPO_RS07380
SPO1449,SPO1449,AMP-binding protein,SPO_RS07385
SPO1450,SPO1450,"aromatic 1,2-dioxygenase, beta subunit",SPO_RS07390
SPO1451,SPO1451,"aromatic 1,2-dioxygenase, alpha subunit",SPO_RS07395
SPO1452,SPO1452,oxidoreductase NAD-binding domain/2Fe-2S iron-sulfur cluster binding domain protein,SPO_RS07400
SPO1453,SPO1453,"transcriptional regulator, MarR family",SPO_RS07405
SPO1454,SPO1454,"TRAP dicarboxylate transporter, DctP subunit",SPO_RS07410
SPO1455,SPO1455,"TRAP dicarboxylate transporter, DctQ subunit, putative",SPO_RS07415
SPO1456,SPO1456,"TRAP transporter, DctM subunit",SPO_RS07420
SPO1457,SPO1457,thioesterase family protein,SPO_RS07425
SPO1458,SPO1458,"transcriptional regulator, MarR family",SPO_RS07430
SPO1459,SPO1459,"indolepyruvate oxidoreductase, IorA subunit, putative",SPO_RS07435
SPO1460,SPO1460,"indolepyruvate oxidoreductase, IorB subunit, putative",SPO_RS07440
SPO1461,SPO1461,hypothetical protein,SPO_RS07445
SPO1462,SPO1462,OmpA family protein,SPO_RS22160
SPO1463,SPO1463,"TRAP dicarboxylate transporter, DctM subunit",SPO_RS07455
SPO1464,SPO1464,"TRAP dicarboxylate transporter, DctQ subunit, putative",SPO_RS07460
SPO1465,SPO1465,"TRAP dicarboxylate transporter, DctP subunit, putative",SPO_RS07465
SPO1466,SPO1466,"opine dehydrogenase, putative",SPO_RS07470
SPO1467,SPO1467,3-hydroxyacyl-CoA dehydrogenase family protein,SPO_RS07475
SPO1468,SPO1468,aminotransferase family protein,SPO_RS07480
SPO1469,SPO1469,"3-ketosteroid dehydrogenase, putative",SPO_RS07485
SPO1470,SPO1470,isocitrate lyase family protein,SPO_RS07490
SPO1471,SPO1471,isochorismatase family protein,SPO_RS07495
SPO1472,hyuA,hydantoin utilization protein A,SPO_RS07500
SPO1473,SPO1473,"hydantoin utilization protein B, putative",SPO_RS07505
SPO1474,SPO1474,"tautomerase, putative",SPO_RS07510
SPO1475,SPO1475,"transcriptional regulator, GntR family",SPO_RS07515
SPO1476,leuC-2,"3-isopropylmalate dehydratase, large subunit",SPO_RS07520
SPO1477,leuD-2,"3-isopropylmalate dehydratase, small subunit",SPO_RS07525
SPO1478,SPO1478,"Sigma-70, ECF",SPO_RS07530
SPO1479,chrR,anti sigma factor ChrR from Rhodobacter spheroides; regulates fatty acid composition in cell membrane in response to ROS. https://www.pnas.org/content/111/33/E3450.short,SPO_RS07535
SPO1480,SPO1480,short chain dehydrogenase,SPO_RS07540
SPO1481,cfa,cyclopropane fatty acyl phospholipid synthase,SPO_RS07545
SPO1482,cfa,cyclopropane fatty acyl phospholipid synthase,SPO_RS07550
SPO1483,cfa,cyclopropane fatty acyl phospholipid synthase,SPO_RS07555
SPO1484,SPO1484,hypothetical protein,SPO_RS07560
SPO1485,SPO1485,NA/galactoside or NA/melibiose symporter,SPO_RS07565
SPO1486,SPO1486,DUF3833 unknown function,SPO_RS07570
SPO1487,SPO1487,hypothetical protein,SPO_RS07575
SPO1488,SPO1488,"transcriptional regulator, LuxR family",SPO_RS07580
SPO1489,SPO1489,indole acetamide hydrolase,SPO_RS07585
SPO1490,SPO1490,"regulatory protein, putative",SPO_RS07590
SPO1491,SPO1491,"branched-chain amino acid ABC transporter, permease protein",SPO_RS07595
SPO1492,SPO1492,"branched-chain amino acid ABC transporter, permease/ATP-binding protein",SPO_RS07600
SPO1493,SPO1493,"branched-chain amino acid ABC transporter, ATP-binding protein",SPO_RS07605
SPO1494,SPO1494,"2-hydroxychromene-2-carboxylate isomerase, putative",SPO_RS07610
SPO1495,SPO1495,"ABC transporter, ATP-binding protein",SPO_RS07615
SPO1496,SPO1496,"ABC transporter, permease protein",SPO_RS07620
SPO1497,SPO1497,"efflux transporter, RND family, MFP subunit",SPO_RS07625
SPO1498,SPO1498,"fumarate hydratase, class I, putative",SPO_RS07630
SPO1499,SPO1499,"hydrolase, alpha/beta fold family",SPO_RS07635
SPO1500,pqqE,coenzyme PQQ synthesis protein E,SPO_RS07640
SPO1501,pqqD,coenzyme PQQ synthesis protein D,SPO_RS07645
SPO1502,pqqC,coenzyme PQQ synthesis protein C,SPO_RS07650
SPO1503,pqqB,coenzyme PQQ biosynthesis protein B,SPO_RS07655
SPO1504,pqqA,coenzyme PQQ biosynthesis protein A,SPO_RS22465
SPO1505,SPO1505,sensor histidine kinase/response regulator,SPO_RS07660
SPO1506,SPO1506,GfdT protein,SPO_RS07665
SPO1507,SPO1507,"DNA-binding response regulator, LuxR family",SPO_RS07670
SPO1508,SPO1508,quinoprotein ethanol dehydrogenase,SPO_RS07675
SPO1509,SPO1509,cytochrome c family protein,SPO_RS07680
SPO1510,SPO1510,"efflux ABC transporter, permease protein",SPO_RS07685
SPO1511,SPO1511,"efflux ABC transporter, ATP-binding protein",SPO_RS07690
SPO1512,SPO1512,hypothetical protein,SPO_RS07695
SPO1513,SPO1513,hypothetical protein,SPO_RS07700
SPO1514,SPO1514,hypothetical protein,SPO_RS07705
SPO1515,SPO1515,"cytochrome c550, putative",SPO_RS07710
SPO1516,SPO1516,"amino acid ABC transporter, periplasmic substrate-binding protein, putative",SPO_RS07715
SPO1517,coxG,carbon monoxide dehydrogenase operon G protein,SPO_RS07720
SPO1518,coxS-1,"carbon-monoxide dehydrogenase, small subunit",SPO_RS07725
SPO1519,coxL-1,"carbon monoxide dehydrogenase, large subunit",SPO_RS07730
SPO1520,SPO1520,"carbon monoxide dehydrogenase, medium subunit, putative",SPO_RS07735
SPO1521,SPO1521,"regulatory protein, putative",SPO_RS07740
SPO1522,SPO1522,hypothetical protein,SPO_RS07745
SPO1523,SPO1523,metallo-beta-lactamase family protein,SPO_RS07750
SPO1524,SPO1524,hypothetical protein,SPO_RS07755
SPO1525,SPO1525,"transporter, AcrB/AcrD/AcrF family",SPO_RS07760
SPO1526,SPO1526,"efflux transporter, RND family, MFP subunit",SPO_RS07765
SPO1527,SPO1527,hypothetical protein,SPO_RS07770
SPO1528,SPO1528,hypothetical protein,SPO_RS07775
SPO1529,SPO1529,hypothetical protein,SPO_RS22165
SPO1530,SPO1530,integral membrane protein MviN,SPO_RS07785
SPO1531,SPO1531,hypothetical protein,SPO_RS07790
SPO1532,SPO1532,hypothetical protein,SPO_RS07800
SPO1533,SPO1533,"glycosyl transferase, group 1 family protein",SPO_RS07805
SPO1534,SPO1534,bacterial sugar transferase,SPO_RS22170
SPO1535,SPO1535,polysaccharide deacetylase domain protein,SPO_RS07815
SPO1536,SPO1536,"glycosyltransferase, group 1",SPO_RS07820
SPO1537,SPO1537,"twin-arginine translocation pathway signal sequence domain protein, putative",SPO_RS07825
SPO1538,SPO1538,chain length determinant protein,SPO_RS07830
SPO1539,SPO1539,"O-antigen polymerase, putative",SPO_RS07835
SPO1540,SPO1540,"glycosyl transferase, group 2",SPO_RS07840
SPO1541,SPO1541,"transcriptional regulator, LysR family",SPO_RS07845
SPO1542,SPO1542,renal dipeptidase family protein,SPO_RS07850
SPO1543,SPO1543,"peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein",SPO_RS07855
SPO1544,SPO1544,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS07860
SPO1545,SPO1545,"peptide/opine/nickel uptake family ABC transporter, permease protein",SPO_RS07865
SPO1546,SPO1546,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS07870
SPO1547,SPO1547,"peptide/opine/nickel uptake family ABC transporter, ATP-binding protein",SPO_RS07875
SPO1548,tmoX,"TMAO transporter, periplasmic binding protein",SPO_RS07880
SPO1549,tmoW,"TMAO transporter, ATP binding protein",SPO_RS07885
SPO1550,tmoV,"TMAO transporter, permease protein",SPO_RS07890
SPO1551,tmm,Trimethylamine (TMA) monooxygenase,SPO_RS07895
SPO1552,SPO1552,"ABC transporter, periplasmic substrate-binding protein, putative",SPO_RS07900
SPO1553,tmoR,trimethylamine monooxidase regulator,SPO_RS07905
SPO1554,SPO1554,ammonium transporter family protein,
SPO1555,SPO1555,"formate dehydrogenase, beta subunit",SPO_RS07915
SPO1556,SPO1556,"formate dehydrogenase, alpha subunit",SPO_RS07920
SPO1557,fhs-1,formate--tetrahydrofolate ligase,SPO_RS07925
SPO1558,SPO1558,chorismate mutase family protein,SPO_RS07930
SPO1559,SPO1559,folD bifunctional protein,SPO_RS07935
SPO1560,folD,folD bifunctional protein,SPO_RS07940
SPO1561,SPO1561,hypothetical protein,SPO_RS07945
SPO1562,tdm,trimethylamine N-oxide demethylase,SPO_RS07950
SPO1563,SPO1563,protozoan/cyanobacterial globin family protein,SPO_RS07955
SPO1564,SPO1564,MOFRL domain protein,SPO_RS07960
SPO1565,SPO1565,"citrate lyase, putative",SPO_RS07965
SPO1566,SPO1566,"DNA-binding response regulator, LuxR family",SPO_RS07970
SPO1567,SPO1567,"aminotransferase, putative",SPO_RS07975
SPO1568,SPO1568,"malate--CoA ligase, beta subunit",SPO_RS07980
SPO1569,SPO1569,"malate--CoA ligase, alpha subunit",SPO_RS07985
SPO1570,SPO1570,D-isomer specific 2-hydroxyacid dehydrogenase family protein,SPO_RS07990
SPO1571,ppc,phosphoenolpyruvate carboxylase,SPO_RS07995
SPO1572,glyA-1,serine hydroxymethyltransferase,SPO_RS08000
SPO1573,gmaS,gamma-glutamylmethylamide synthase,SPO_RS08005
SPO1574,mgsC,N-methylglutamate synthase subunit C,SPO_RS08010
SPO1575,mgsB,N-methylglutamate synthase subunit B,SPO_RS08015
SPO1576,mgsA,N-methylglutamate synthase subunit A,SPO_RS08020
SPO1577,SPO1577,hypothetical protein,SPO_RS08025
SPO1578,amtB,ammonia transporter,SPO_RS08030
SPO1579,dmmD,DMA monooxygenase subunit D,SPO_RS08035
SPO1580,dmmA,DMA monooxygenase subunit A,SPO_RS08040
SPO1581,dmmB,DMA monooxygenase subunit B,SPO_RS08045
SPO1582,dmmC,DMA monooxygenase subunit C,SPO_RS08050
SPO1583,SPO1583,"DNA-binding protein, putative",SPO_RS08055
SPO1584,SPO1584,"transcriptional regulator, AraC family",SPO_RS08060
SPO1585,mgdD,N-methylglutamate dehydrogenase subunit D,SPO_RS08065
SPO1586,mgdC,N-methylglutamate dehydrogenase subunit C,SPO_RS08070
SPO1587,mgdB,N-methylglutamate dehydrogenase subunit B,SPO_RS08075
SPO1588,mgdA,N-methylglutamate dehydrogenase subunit A,SPO_RS08080
SPO1589,SPO1589,carboxymuconolactone decarboxylase family protein,SPO_RS08085
SPO1590,SPO1590,Rieske 2Fe-2S domain protein,SPO_RS08090
SPO1591,SPO1591,SIS domain protein,SPO_RS08095
SPO1592,SPO1592,aminomethyl transferase family protein,SPO_RS08100
SPO1593,SPO1593,"alcohol dehydrogenase, zinc-containing",SPO_RS08105
SPO1594,SPO1594,"mandelate racemase/muconate lactonizing enzyme, putative",SPO_RS08110
SPO1595,SPO1595,mandelate racemase/muconate lactonizing enzyme,SPO_RS08115
SPO1596,dddQ,DMSP lyase,SPO_RS22175
SPO1597,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",SPO_RS08125
SPO1598,SPO1598,hypothetical protein,SPO_RS08130
SPO1599,SPO1599,MmgE/PrpD family protein,SPO_RS22180
SPO1600,SPO1600,fumarylacetoacetate hydrolase family protein,SPO_RS08140
